Year,FAMILY INTERVIEW (ID) NUMBER,AMOUNT CREDIT/STORE CARD DEBT,AMT INVESTED IN STOCKS ,TOTAL FAMILY INCOM, COMPLETED ED
2017,NA,NA,NA,NA,NA
2017,267,0,0,108130,16
2017,NA,NA,NA,NA,NA
2017,4987,5000,0,178500,17
2017,8430,0,0,154860,16
2017,6294,0,0,46847,13
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,7107,0,999999998,325200,17
2017,9313,0,0,115030,17
2017,9485,0,0,145506,16
2017,8613,2500,0,41802,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,6228,0,0,170350,16
2017,8014,0,0,12600,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,2473,0,0,9000,11
2017,2067,0,0,52000,12
2017,7150,30000,0,36850,16
2017,5183,0,0,89050,12
2017,3772,0,0,86470,16
2017,9070,0,0,78700,14
2017,4278,1500,0,133050,17
2017,4101,0,0,109626,16
2017,NA,NA,NA,NA,NA
2017,6862,0,0,72001,14
2017,4010,0,0,1070,9
2017,NA,NA,NA,NA,NA
2017,4296,0,0,8784,8
2017,7929,0,0,20700,11
2017,NA,NA,NA,NA,NA
2017,6629,0,0,34847,9
2017,697,0,0,14000,11
2017,1058,12000,0,39672,12
2017,1181,0,0,69900,14
2017,2366,0,0,51400,13
2017,1269,0,0,29753,12
2017,2377,0,0,52290,12
2017,193,0,999999998,32000,16
2017,1041,3000,0,29160,10
2017,1972,1500,0,14280,12
2017,2505,6000,0,27000,13
2017,2461,0,0,29432,11
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,584,0,3000,300400,17
2017,641,0,0,45000,16
2017,577,1300,0,30000,14
2017,12,20000,0,67518,17
2017,1556,0,999999998,411390,17
2017,1722,0,4000,21010,16
2017,1731,0,0,37802,17
2017,1660,0,0,280000,16
2017,2090,0,0,7600,16
2017,1338,0,0,57000,16
2017,NA,NA,NA,NA,NA
2017,1274,0,0,272200,17
2017,1686,0,50000,465500,14
2017,1363,0,0,385100,16
2017,1233,0,400000,2070000,17
2017,NA,NA,NA,NA,NA
2017,3800,0,0,110200,12
2017,5863,0,0,119816,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,2457,7000,0,63168,14
2017,484,0,0,0,13
2017,758,1000,0,81872,15
2017,4270,0,0,105920,16
2017,3927,10000,0,164010,16
2017,6606,10000,0,165000,16
2017,483,0,0,84970,16
2017,733,38000,0,78010,17
